Marca temporal,"Eres quien hace bonito el proyecto. (Haces el lettering del título, estilizas el póster en canva, te encargas de la estética de las diapositivas)","Eres quien organiza al equipo (Divides las tareas, les recuerdas los tiempos de entrega, checas avances, tu frase es ""Mariana, son las 11:30 y todavía no mandas tu parte"")","Eres quien pone el ambiente en el equipo (prestas la casa para el proyecto, las chelas, la música y los chistes)","Eres quien revisa que todo esté correcto en el proyecto (le das pasadas para encontrar faltas ortográficas, errores de redacción, cálculos mal hechos, Tu frase es ""¿¿¿Quién hizo tu parte, un niño de kínder???"")","Eres quien la verdad, no quería trabajar en equipo (mejor lo haces todo tú y pones el nombre de los demás, ¿no? Simios imbéciles)","Eres el del apoyo moral (la verdad no le sabes mucho, pero, igual ahí andas en la madrugada acompañando al que sí le sabe, ""Ay neta perdón por dejarte todo, te debo unos chetos"")","Eres el/la fantasma del grupo (No contestas nunca y hasta que el proyecto está terminado preguntas ""¿qué hace falta?"")"
29/10/2020 12:50:32,4,5,3,5,4,3,0
29/10/2020 12:58:22,4,4,0,4,3,5,4
29/10/2020 13:04:44,0,4,3,1,3,1,0
29/10/2020 13:05:36,2,4,5,1,2,3,0
29/10/2020 13:06:31,1,4,3,5,4,2,2
29/10/2020 13:08:23,1,5,0,5,4,0,0
29/10/2020 13:08:57,5,5,1,5,3,1,0
29/10/2020 13:08:58,4,3,2,3,5,0,0
29/10/2020 13:09:00,4,5,2,5,1,2,0
29/10/2020 13:09:16,5,5,3,3,0,5,0
29/10/2020 13:09:25,1,3,4,3,1,0,0
29/10/2020 13:09:32,5,4,4,2,3,3,0
29/10/2020 13:09:33,4,5,3,5,2,1,0
29/10/2020 13:10:03,3,5,1,3,3,3,1
29/10/2020 13:10:03,2,4,0,4,4,0,0
29/10/2020 13:10:27,2,5,5,5,1,0,1
29/10/2020 13:10:30,5,5,1,4,2,1,0
29/10/2020 13:11:16,5,5,2,5,2,0,0
29/10/2020 13:11:21,4,4,4,5,0,0,1
29/10/2020 13:11:22,1,4,3,4,1,2,0
29/10/2020 13:12:20,5,5,1,5,2,1,1
29/10/2020 13:12:26,5,5,1,5,0,5,0
29/10/2020 13:12:49,5,4,0,2,2,1,0
29/10/2020 13:13:08,2,4,2,4,1,2,1
29/10/2020 13:13:44,5,3,1,4,1,0,0
29/10/2020 13:14:16,3,5,5,4,4,4,0
29/10/2020 13:14:47,1,3,0,5,3,0,0
29/10/2020 13:14:57,4,5,3,5,0,2,0
29/10/2020 13:15:23,1,3,5,2,1,5,2
29/10/2020 13:15:56,3,5,1,5,3,5,0
29/10/2020 13:16:40,3,1,5,3,4,3,5
29/10/2020 13:17:40,3,3,4,5,1,4,0
29/10/2020 13:17:40,1,3,0,4,1,5,3
29/10/2020 13:17:48,0,5,0,3,5,0,0
29/10/2020 13:22:02,3,1,5,2,3,1,2
29/10/2020 13:22:06,2,4,0,5,4,0,0
29/10/2020 13:22:09,2,4,4,5,1,2,0
29/10/2020 13:22:45,0,5,5,2,2,4,0
29/10/2020 13:23:29,2,3,0,3,3,3,0
29/10/2020 13:23:32,3,4,2,2,1,3,1
29/10/2020 13:24:03,3,2,0,4,2,3,0
29/10/2020 13:24:28,3,5,2,3,2,0,0
29/10/2020 13:24:36,4,5,2,5,0,2,0
29/10/2020 13:24:55,3,5,3,4,4,2,0
29/10/2020 13:25:32,1,1,0,4,5,0,0
29/10/2020 13:27:12,2,1,5,1,1,5,4
29/10/2020 13:27:37,3,5,1,5,3,3,0
29/10/2020 13:28:14,2,5,5,3,0,0,0
29/10/2020 13:29:38,5,3,1,4,4,4,1
29/10/2020 13:30:04,1,2,1,5,4,1,3
29/10/2020 13:30:47,4,4,1,5,2,1,0
29/10/2020 13:31:34,0,1,4,2,2,5,0
29/10/2020 13:35:43,4,5,3,5,5,0,0
29/10/2020 13:37:22,5,5,5,5,1,0,0
29/10/2020 13:37:51,5,3,0,3,0,0,0
29/10/2020 13:39:01,1,5,3,5,3,0,0
29/10/2020 13:39:03,4,5,1,2,1,0,0
29/10/2020 13:39:09,3,5,4,2,1,4,0
29/10/2020 13:39:19,4,5,3,4,2,1,0
29/10/2020 13:39:58,0,3,1,5,4,5,1
29/10/2020 13:40:02,5,5,2,3,3,3,3
29/10/2020 14:03:03,5,5,5,5,0,0,0
29/10/2020 14:03:04,3,2,1,4,4,1,0
29/10/2020 14:06:37,2,2,5,0,2,5,2
29/10/2020 14:06:43,0,2,2,3,0,5,0
29/10/2020 14:10:31,4,4,3,4,2,1,1
29/10/2020 14:10:32,5,4,0,4,1,0,0
29/10/2020 14:12:46,3,2,3,3,1,3,0
29/10/2020 14:13:31,3,5,5,5,4,2,0
29/10/2020 14:15:02,3,5,5,5,5,5,2
29/10/2020 14:18:38,4,3,2,3,1,3,0
29/10/2020 14:20:16,3,4,2,4,1,2,1
29/10/2020 14:21:17,1,2,3,5,0,1,2
29/10/2020 14:22:35,1,2,2,3,3,3,1
29/10/2020 14:22:54,5,5,5,5,3,0,0
29/10/2020 14:23:45,3,0,3,4,0,5,0
29/10/2020 14:24:08,5,2,3,1,0,2,0
29/10/2020 14:24:17,2,3,5,3,0,5,0
29/10/2020 14:24:42,3,3,3,2,1,2,1
29/10/2020 14:24:43,2,3,2,0,0,2,0
29/10/2020 14:24:57,4,4,2,5,0,2,0
29/10/2020 14:25:18,3,3,1,4,5,0,2
29/10/2020 14:25:19,3,4,3,2,0,0,0
29/10/2020 14:25:44,5,5,5,2,2,4,1
29/10/2020 14:25:55,5,4,4,3,2,4,0
29/10/2020 14:26:52,5,5,5,5,5,5,5
29/10/2020 14:27:22,3,5,2,5,0,3,0
29/10/2020 14:28:00,1,3,1,4,4,2,0
29/10/2020 14:29:30,3,5,2,5,0,0,0
29/10/2020 14:30:02,4,3,2,3,1,0,0
29/10/2020 14:30:53,0,3,5,5,3,5,0
29/10/2020 14:35:52,4,5,3,5,2,2,0
29/10/2020 14:36:44,2,5,3,5,2,5,0
29/10/2020 14:37:45,3,2,3,2,3,1,1
29/10/2020 14:38:29,4,4,3,2,3,1,0
29/10/2020 14:41:19,4,4,1,4,3,3,0
29/10/2020 14:43:13,2,5,5,4,3,1,0
29/10/2020 14:47:26,3,5,5,4,4,3,0
29/10/2020 14:51:58,4,3,1,5,2,0,1
29/10/2020 14:51:59,3,3,4,4,4,2,1
29/10/2020 14:57:07,4,3,2,4,1,0,1
29/10/2020 15:09:52,0,0,0,0,0,0,5
29/10/2020 15:12:11,0,4,2,1,0,1,1
29/10/2020 15:12:51,5,5,3,5,2,1,0
29/10/2020 15:16:28,3,1,3,4,1,2,0
29/10/2020 15:17:41,3,3,4,3,3,5,1
29/10/2020 15:22:13,3,4,0,5,1,0,0
29/10/2020 15:31:54,0,5,1,5,5,2,0
29/10/2020 15:35:27,4,4,0,4,3,0,0
29/10/2020 15:36:59,3,5,3,4,3,0,0
29/10/2020 15:42:43,2,3,4,5,0,2,0
29/10/2020 15:46:19,5,5,5,5,2,0,2
29/10/2020 15:54:57,5,5,2,5,1,0,0
29/10/2020 16:00:52,1,3,0,4,2,1,0
29/10/2020 16:01:25,5,4,2,0,1,5,0